dataset,records,columns,missing_cells,missing_percentage,duplicate_rows
activities,9279,19,0,0.0,0
activity_states,4060623,9,0,0.0,0
construction_memory,55489,24,245745,18.453,0
counterfactuals,70513,10,0,0.0,0
DATA_DICTIONARY,200,4,0,0.0,0
DATA_QUALITY_REPORT,18,8,0,0.0,0
DATASET_CATALOG,18,5,0,0.0,0
decisions,3374,15,0,0.0,0
dependencies,18176,6,0,0.0,0
environment,52332,10,0,0.0,0
events,27989,10,0,0.0,0
friction_canonical,12980,6,0,0.0,0
friction_summary_canonical,100,4,0,0.0,0
intervention_options,70513,11,0,0.0,0
master_projects_canonical,100,29,0,0.0,0
outcomes,100,4,0,0.0,0
procurement,800,8,0,0.0,0
projects,100,14,0,0.0,0
resource_allocation,9279,6,0,0.0,0
resources,2748,8,0,0.0,0
rework,1858,7,0,0.0,0
