,count,mean,std,min,25%,50%,75%,max
floors,100.0,9.75,6.811124293493266,1.0,5.0,8.5,12.25,30.0
area_m2,100.0,33295.6767,19657.383589646593,5075.25,18642.24,28245.565000000002,44810.6525,79960.71
complexity,100.0,0.640745,0.14147688062904573,0.3998,0.530675,0.61635,0.739,0.9381
contractor_capability,100.0,0.7616330000000002,0.09056839154177712,0.4374,0.713525,0.76685,0.8225,0.9597
resource_availability,100.0,0.8100459999999998,0.07953654317991259,0.6255,0.7555000000000001,0.8050999999999999,0.8575,0.98
management_maturity,100.0,0.69332,0.15725751640111343,0.3,0.563225,0.7182,0.8082,0.98
weather_exposure,100.0,0.39174500000000007,0.1998447197074506,0.05,0.218425,0.3851,0.552775,0.8518
supply_chain_exposure,100.0,0.405638,0.21921465877587248,0.05,0.236225,0.39239999999999997,0.549475,0.9094
technology_maturity,100.0,0.64902,0.14273456115984995,0.3711,0.527875,0.6586,0.749575,0.95
planned_duration_days,100.0,418.35,98.51394558511741,259.0,335.0,395.0,484.5,697.0
planned_cost,100.0,117209422.6108,89611627.63452947,10667865.96,53173222.927499995,85067485.89500001,168007624.07,437548724.38
